$ docker service logs vdi_guacamole2
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.589 WARNING [main] org.apache.tomcat.util.digester.SetPropertiesRule.begin [SetPropertiesRule]{Server/Service/Engine/Host/Valve} Setting property 'remoteIpProxiesHeader' to 'x-forwarded-by' did not find a matching property.
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.593 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Server version:        Apache Tomcat/8.5.40
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.593 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Server built:          Apr 10 2019 14:31:19 UTC
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.593 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Server number:         8.5.40.0
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.593 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log OS Name:               Linux
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.593 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log OS Version:            5.0.0-13-generic
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Architecture:          amd64
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Java Home:             /usr/lib/jvm/java-8-openjdk-amd64/jre
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log JVM Version:           1.8.0_212-8u212-b01-1~deb9u1-b01
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log JVM Vendor:            Oracle Corporation
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log CATALINA_BASE:         /usr/local/tomcat
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log CATALINA_HOME:         /usr/local/tomcat
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.594 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Djava.util.logging.config.file=/usr/local/tomcat/conf/logging.properties
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Djava.util.logging.manager=org.apache.juli.ClassLoaderLogManager
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Djdk.tls.ephemeralDHKeySize=2048
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Djava.protocol.handler.pkgs=org.apache.catalina.webresources
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Dorg.apache.catalina.security.SecurityListener.UMASK=0027
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Dignore.endorsed.dirs=
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Dcatalina.base=/usr/local/tomcat
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Dcatalina.home=/usr/local/tomcat
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.595 INFO [main] org.apache.catalina.startup.VersionLoggerListener.log Command line argument: -Djava.io.tmpdir=/usr/local/tomcat/temp
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.596 INFO [main] org.apache.catalina.core.AprLifecycleListener.lifecycleEvent Loaded APR based Apache Tomcat Native library [1.2.21] using APR version [1.5.2].
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.596 INFO [main] org.apache.catalina.core.AprLifecycleListener.lifecycleEvent APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.596 INFO [main] org.apache.catalina.core.AprLifecycleListener.lifecycleEvent APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.600 INFO [main] org.apache.catalina.core.AprLifecycleListener.initializeSSL OpenSSL successfully initialized [OpenSSL 1.1.0j  20 Nov 2018]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.681 INFO [main] org.apache.coyote.AbstractProtocol.init Initializing ProtocolHandler ["http-nio-8080"]
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.693 INFO [main] org.apache.tomcat.util.net.NioSelectorPool.getSharedSelector Using a shared selector for servlet write/read
vdi_guacamole2.1.b1cyzi4h6a52@swarm-3    | 25-Apr-2019 06:35:02.704 INFO [main] org.apache.coyote.AbstractProtocol.init Initializing ProtocolHandler ["ajp-nio-8009"]
