vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:29.111 [http-nio-8080-exec-8] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:29.555 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:30.855 [http-nio-8080-exec-6] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1300 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:33.941 [http-nio-8080-exec-2] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:34.226 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:35.253 [Thread-294] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1026 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:41.814 [http-nio-8080-exec-4] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:42.222 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:43.215 [http-nio-8080-exec-2] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 992 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:46.319 [http-nio-8080-exec-9] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:46.615 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:47.692 [http-nio-8080-exec-5] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1076 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:53.730 [http-nio-8080-exec-4] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:54.099 [http-nio-8080-exec-5] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:55.442 [http-nio-8080-exec-8] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 1343 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:59.688 [http-nio-8080-exec-6] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:29:59.991 [http-nio-8080-exec-10] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:00.888 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 897 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:07.128 [http-nio-8080-exec-9] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:07.527 [http-nio-8080-exec-1] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:08.449 [http-nio-8080-exec-7] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 922 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:12.006 [http-nio-8080-exec-8] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:12.351 [http-nio-8080-exec-3] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" connected to group "1".
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:13.306 [http-nio-8080-exec-5] INFO  o.a.g.tunnel.TunnelRequestService - User "student850000000" disconnected from connection group "1". Duration: 955 milliseconds
vdi_guacamole2.1.iytle5jay8ee@swarm-3    | 18:30:19.781 [http-nio-8080-exec-2] INFO  o.a.g.r.auth.AuthenticationService - User "student850000000" successfully authenticated from [10.255.0.2, 10.0.19.11].
